"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau"
"780","BRD-K74316684","54651401","HEPG2","trt_cp","down",-0.296138893390297,0.000722254288081566,0.00206430391322209,-0.852692783291644,-0.0255807834987492,49,57,NA,-47.9545812652643
"781","withaferin-a","73707417","HEPG2","trt_cp","down",-0.296096850175381,0.000722254288081566,0.00206430391322209,-0.852571725413922,-0.923326286177334,49,57,"ACHE; BCHE; IKBKB",-44.3472780272591
"782","LY-2183240","11507802","HEPG2","trt_cp","down",-0.29602215295327,0.000722254288081566,0.00206430391322209,-0.852356644640515,-0.876175001000152,49,57,"FAAH",-62.2478925391948
"783","BRD-K26631510",NA,"HEPG2","trt_cp","up",0.267031139759718,0.00798516054986283,0.0187969757487834,0.852270564489292,-0.692409545135273,49,57,NA,49.2732214606476
"784","HG-5-88-01","25226117","HEPG2","trt_cp","down",-0.295933076695754,0.000722254288081566,0.00206430391322209,-0.852100161336088,0,49,57,"ADCK4; EGFR",-43.6027731820689
"785","staurosporine","44259","HEPG2","trt_cp","down",-0.295878624639845,0.000722254288081566,0.00206430391322209,-0.85194337384162,-0.953810700196901,49,57,"AURKC; BRSK1; BRSK2; CAMK2B; CAMK2D; CAMKK1; CAMKK2; CDK1; CDK2; CDK5; CHEK1; CHRM1; CHRM4; CLK4; CSK; DAPK1; FER; FGR; FLT4; GPR35; GRK7; GSK3A; GSK3B; HCK; IKBKB; IKBKE; ITK; LCK; LIMK1; LRRK2; MAP2K4; MAP2K6; MAP3K10; MAP3K11; MAP3K2; MAP3K3; MAP3K7; MAP3K9; MAP4K2; MAP4K4; MAP4K5; MAPKAPK2; MARK1; MARK2; MARK3; MARK4; MELK; MINK1; MST4; MYLK; NTRK1; NTRK2; NTRK3; NUAK1; NUAK2; PAK2; PDGFRA; PHKG1; PHKG2; PIK3CG; PIM1; PKN1; PKN2; PRKCB; PRKCE; PRKCH; PRKCI; PRKG1; PRKG2; RET; ROS1; RPS6KA1; RPS6KA2; RPS6KA3; RPS6KA4; RPS6KA5; RPS6KA6; RPS6KB1; SIK2; SLK; STK10; STK3; STK4; TBK1; TNIK; TNK2; TSSK1B; TYK2; YES1; ZAP70",-43.65792168912
"786","BRD-K99807031",NA,"HEPG2","trt_cp","down",-0.295737287970993,0.000722254288081566,0.00206430391322209,-0.851536413593456,-0.811813623437897,49,57,NA,-56.8069014417395
"787","metformin","4091","HEPG2","trt_cp","up",0.266758272771103,0.00798516054986283,0.0187969757487834,0.851399667924094,0.0473872845642608,49,57,"ACACB; HBA1; IGFBP1; INS; INSR; IRS1; LEP; PLAT; PRKAA2; PRKAB1; RETN; SERPINE1; SLC22A1; SLC22A2; SLC2A4; SLC47A1; SLC47A2",44.7894508784369
"788","tetracycline","10410310","HEPG2","trt_cp","down",-0.29559833585958,0.000722254288081566,0.00206430391322209,-0.851136319363117,-0.578772697166919,49,57,"PADI4; PRNP",-49.1481525250138
"789","gemcitabine","60749","HEPG2","trt_cp","down",-0.295186078429376,0.000789512083534225,0.00223776628734437,-0.849949278608123,-0.559011410081049,49,57,"CMPK1; DCK; DCTD; RRM1; RRM2; SLC29A1; TK2; TYMS",-51.3087922476956
"790","alizarin",NA,"HEPG2","trt_cp","down",-0.295058790326242,0.000789512083534225,0.00223776628734437,-0.849582769347219,-0.79945651901533,49,57,NA,-51.3846214448909
"791","BRD-K87004592",NA,"HEPG2","trt_cp","up",0.266030214572675,0.0085973783864387,0.0201317235298635,0.849075959264823,0.731655241762117,49,57,NA,42.7509257070826
"792","BRD-K81335284",NA,"HEPG2","trt_cp","up",0.265999575553999,0.0085973783864387,0.0201317235298635,0.848978170168893,0.760252952561282,49,57,NA,46.730481367683
"793","amuvatinib","11282283","HEPG2","trt_cp","down",-0.294801435303206,0.000789512083534225,0.00223776628734437,-0.848841749589987,-0.832260641157705,49,57,"FLT3; KIT; MET; PDGFRA; RAD51; RET",-49.280115024029
"794","BRD-K72568261",NA,"HEPG2","trt_cp","down",-0.294722388380362,0.000789512083534225,0.00223776628734437,-0.848614144428508,0.570038045824448,49,57,NA,-41.3239580871346
"795","BRD-K88925363",NA,"HEPG2","trt_cp","down",-0.294695350298526,0.000789512083534225,0.00223776628734437,-0.848536291847269,-0.848536291847269,49,57,NA,-43.1734026628851
"796","BMS-387032","3025986","HEPG2","trt_cp","down",-0.29454539569762,0.000789512083534225,0.00223776628734437,-0.848104517403359,-0.855482809496823,49,57,NA,-42.4791223509021
"797","chlorpropamide",NA,"HEPG2","trt_cp","up",0.265181090153717,0.00925109108420132,0.0215289176571971,0.846365849318402,-0.698318698844231,49,57,"ABCC8; KCNJ10",51.5116599700622
"798","BRD-K84468307",NA,"HEPG2","trt_cp","up",0.265057685561812,0.00925109108420132,0.0215289176571971,0.845971984762762,0.868144094343097,49,57,NA,42.2417868116285
"799","BRD-K70875408","54654159","HEPG2","trt_cp","up",0.265028302405776,0.00925109108420132,0.0215289176571971,0.845878203943777,0.0253763461183135,49,57,NA,50.97691641062
"800","BRD-K00747273",NA,"HEPG2","trt_cp","up",0.264933438397628,0.00925109108420132,0.0215289176571971,0.845575431009327,0.813856776251799,49,57,NA,42.4092019223194
"801","RAF-265",NA,"HEPG2","trt_cp","down",-0.293509221639316,0.000864711999769874,0.00243210578912091,-0.845120991221996,-0.935913892472938,49,57,"BRAF; KDR",-46.2183880879225
"802","BRD-K00185670",NA,"HEPG2","trt_cp","up",0.264184527554457,0.00993996670575931,0.0229950330152099,0.843185167957476,0.911462786816479,49,57,NA,42.110809107382
"803","furfural",NA,"HEPG2","trt_cp","up",0.264007581357078,0.00993996670575931,0.0229950330152099,0.842620417210952,0.842620417210952,49,57,"HBA2; HBB",50.2087764909793
"804","BRD-K00837228",NA,"HEPG2","trt_cp","down",-0.291467829506321,0.00112815105817989,0.00310107931706825,-0.839243072520586,0.831369234382016,49,57,NA,-49.3805640904435
"805","BRD-K26954478",NA,"HEPG2","trt_cp","up",0.2626830797259,0.0106730570928818,0.0245594713100135,0.838393068468453,0.561723355873864,49,57,NA,45.5113054439455
"806","BRD-K58421169",NA,"HEPG2","trt_cp","down",-0.290955032704308,0.00112815105817989,0.00310107931706825,-0.837766541939395,-0.578058913938182,49,57,NA,-44.4093200976916
"807","caprolactam",NA,"HEPG2","trt_cp","up",0.262306760570831,0.0114617205662501,0.0262457763711648,0.837191988553177,0.837191988553177,49,57,NA,45.8874970456157
"808","KIN001-260",NA,"HEPG2","trt_cp","down",-0.290515533346807,0.00112815105817989,0.00310107931706825,-0.836501061657112,0.35547281076833,49,57,NA,-44.3108406208146
"809","CX-5461",NA,"HEPG2","trt_cp","up",0.261720040139861,0.0114617205662501,0.0262457763711648,0.835319380911425,-0.448522995272014,49,57,NA,40.36673757189
"810","BRD-K73008154","54666534","HEPG2","trt_cp","down",-0.289861318008439,0.00122939677873674,0.00335522526675204,-0.834617335101107,-0.84266621899684,49,57,NA,-41.8222642401324
"811","BRD-K43013792",NA,"HEPG2","trt_cp","up",0.261486469663503,0.0122900293658284,0.0279922558357149,0.834573905151883,0.575855994554799,49,57,NA,47.4513511384228
"812","BRD-K48564062",NA,"HEPG2","trt_cp","up",0.261404114852633,0.0122900293658284,0.0279922558357149,0.834311057226311,0.0250293317167895,49,57,NA,37.9933821791539
"813","BRD-K72934042",NA,"HEPG2","trt_cp","down",-0.289210104263644,0.0013420878569151,0.00363551644194064,-0.832742251236878,0.609330605072705,49,57,NA,-47.3312061766328
"814","EMF-BCA1-60","44492462","HEPG2","trt_cp","down",-0.288625663209877,0.0013420878569151,0.00363551644194064,-0.831059430506708,-0.761815578796489,49,57,NA,-42.2329236587095
"815","SA-1922257","54666566","HEPG2","trt_cp","down",-0.288185097639881,0.00146546271948921,0.0039465588072936,-0.829790880206537,-0.736944115984516,49,57,NA,-42.7962262664461
"816","BRD-K37813153",NA,"HEPG2","trt_cp","up",0.259581448866059,0.0131762177305649,0.0298599770851741,0.82849374104869,1.07448994756476,49,57,NA,41.5189474513511
"817","BRD-K98596482",NA,"HEPG2","trt_cp","up",0.259476473582088,0.0141064467869857,0.0317871653582245,0.828158696437009,0.829932932067699,49,57,NA,45.9702198061924
"818","dacarbazine","5351166","HEPG2","trt_cp","down",-0.287401871286783,0.00159862923782317,0.00427581212499714,-0.827535683493519,-0.73712995098024,49,57,"CYP2E1; PGD; POLA2",-47.4671078547231
