"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau"
"932","BRD-K90805324",NA,"HEPG2","trt_cp","up",0.198175285409687,0.221300384977442,0.314451408995329,0.661374496370684,0.869700161792397,62,26,NA,24.7931930985583
"933","BRD-K65508953",NA,"HEPG2","trt_cp","down",-0.201891028648423,0.202205938190978,0.314451408995329,-0.655818052091951,-0.655818052091951,62,26,NA,-24.6060820924919
"934","BRD-K23166787",NA,"HEPG2","trt_cp","down",-0.201486098779599,0.207062555929394,0.314451408995329,-0.654502687463894,0.548584250183776,62,26,NA,-24.7902387142519
"935","BRD-K31062320",NA,"HEPG2","trt_cp","down",-0.200840474143296,0.207062555929394,0.314451408995329,-0.652405455634439,0,62,26,NA,-36.7810998187978
"936","BRD-K86265745","54619271","HEPG2","trt_cp","down",-0.19371828651558,0.239193591435287,0.314451408995329,-0.629269909454347,-0.671921247656518,62,26,NA,-24.6661545733869
"937","BRD-K89824424","54666679","HEPG2","trt_cp","down",-0.193526732583559,0.239193591435287,0.314451408995329,-0.628647670182947,-0.629245402704884,62,26,NA,-46.3680768927755
"938","BRD-K19294102",NA,"HEPG2","trt_cp","down",-0.19271353994244,0.243428264959072,0.314451408995329,-0.626006114401868,1.14800764835856,62,26,NA,-21.4813282911841
"939","triamcinolone","31307","HEPG2","trt_cp","up",0.187277071327069,0.266346135727406,0.314451408995329,0.625003660141883,0,62,26,"BGLAP; CYP3A5; CYP3A7; NR3C1; SERPINA6",38.2838966359411
"940","BRD-K91853144",NA,"HEPG2","trt_cp","down",-0.19224618989539,0.247559321005682,0.314451408995329,-0.624487985540207,0.460806086869359,62,26,NA,-35.9381154967305
"941","BRD-K90219001",NA,"HEPG2","trt_cp","down",-0.192014011562237,0.247559321005682,0.314451408995329,-0.623733782923055,-0.767054815771288,62,26,NA,-29.1459859765225
"942","SA-246522","44503093","HEPG2","trt_cp","up",0.185005202733723,0.272951869573056,0.314451408995329,0.617421705895476,0.647580950764089,62,26,NA,19.9283069408335
"943","BRD-K15849455",NA,"HEPG2","trt_cp","down",-0.188079645864194,0.262838438245703,0.314451408995329,-0.61095348225501,-0.0183286044676502,62,26,NA,-30.0844953911605
"944","BRD-K90618376",NA,"HEPG2","trt_cp","down",-0.185103404701356,0.272951869573056,0.314451408995329,-0.601285530711866,0.0214325026862139,62,26,NA,-35.4191286535886
"945","BRD-K23412959","17757075","HEPG2","trt_cp","down",-0.184789269597811,0.272951869573056,0.314451408995329,-0.600265101656253,0.319687512917369,62,26,NA,-20.5822106672969
"946","BRD-K19520352",NA,"HEPG2","trt_cp","down",-0.183904952584181,0.276019334211797,0.314451408995329,-0.597392507142303,-0.67948392061599,62,26,NA,-29.1548491294414
"947","BRD-K63455741","54651209","HEPG2","trt_cp","down",-0.182344496736215,0.281727760723615,0.314451408995329,-0.59232355919826,0.835631932193905,62,26,NA,-23.1761600882376
"948","BRD-K41047568",NA,"HEPG2","trt_cp","down",-0.181739157749323,0.281727760723615,0.314451408995329,-0.59035719032146,-0.407346461321808,62,26,NA,-30.5532577010951
"949","BRD-A58013617",NA,"HEPG2","trt_cp","down",-0.181022073168464,0.28437205175965,0.314451408995329,-0.588027829694829,-0.588027829694829,62,26,NA,-43.7810210352163
"950","erythrosine","12961638","HEPG2","trt_cp","down",-0.180274970768038,0.286861482320034,0.314451408995329,-0.585600959891645,0,62,26,NA,-25.4707318994721
"951","hydrochlorothiazide","3639","HEPG2","trt_cp","up",0.174824289428092,0.297223578185218,0.314451408995329,0.583444732449038,0.198371209032673,62,26,"CA1; CA4; KCNMA1; SLC12A3",28.8101709603719
"952","BRD-K66199755",NA,"HEPG2","trt_cp","down",-0.177913193974417,0.29140998929054,0.314451408995329,-0.577929019901852,0,62,26,NA,-22.4011266052155
"953","ABT-702",NA,"HEPG2","trt_cp","up",0.171661558405918,0.301874723467322,0.314451408995329,0.572889684514471,0,62,26,NA,23.2283542109824
"954","imatinib","123596","HEPG2","trt_cp","up",0.137395470685831,0.314405279417082,0.314451408995329,0.458532758212506,0,62,26,"ABCG2; ABL1; ABL2; BCR; CRKL; CSF1R; CYP2C8; CYP3A5; DDR1; DDR2; ETV6; FIP1L1; FYN; KIT; LYN; MCL1; NQO2; NTRK1; NUP214; PDGFRA; PDGFRB; RET; STAT5A; YES1",15.8798156464193
"955","tyrphostin-A9","5614","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0.897397288632652,62,26,NA,0
"956","BRD-A46802340","4190864","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,-1.03122668311442,62,26,NA,0
"957","BRD-K45962729",NA,"HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,-0.023420987612875,62,26,NA,0
"958","vismo-ester",NA,"HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,1.13873236232107,62,26,NA,0
"959","silydianin",NA,"HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,NA,0
"960","BRD-K31542390",NA,"HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,NA,0
