"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Symbol"
"ENSG00000008441.16",1029872.88850139,2.13857618902201e-06,0.00144268126292127,0.510017808185184,0.732915358034726,"NFIX"
"ENSG00000105649.9",772267.01349246,-4.11888083837863,0.49426732676119,5.91355610688233e-17,3.30117928946275e-15,"RAB3A"
"ENSG00000105655.18",167961.154170827,6.01987514415964e-06,0.00144269309032441,0.0160946513104624,0.0477328928353703,"ISYNA1"
"ENSG00000105695.14",854361.223443343,-2.93739407027811,0.890770213771624,0.000350250688145944,0.00162813900711451,"MAG"
"ENSG00000167641.10",250568.594376978,-6.96256069582517e-06,0.00144269430941306,0.010642435202746,0.0334078982690922,"PPP1R14A"
"ENSG00000130758.7",573617.010638295,-2.47780054543405,0.367480528618105,3.83572983465184e-12,9.12970152174592e-11,"MAP3K10"
"ENSG00000105409.16",1773242.68777221,-3.85210712870855,0.541908948790813,7.4649430462164e-13,2.05576883666962e-11,"ATP1A3"
"ENSG00000087086.14",6154923.71239744,1.31303439990421,0.597306681068002,0.000262501848670358,0.00125606537209173,"FTL"
"ENSG00000074219.13",28024.8252984696,3.21676944654433,0.452542361711956,5.93031294814313e-15,2.36733880883906e-13,"TEAD2"
"ENSG00000104870.12",184206.589694491,2.26558289045932,0.429966187931841,1.16964396693469e-09,1.73621220301889e-08,"FCGRT"
"ENSG00000105568.17",1469028.24407122,-1.63687717321441e-05,0.00144269475907673,0.00514719244341006,0.017619221970452,"PPP2R1A"
"ENSG00000126583.10",373556.032356669,-5.7506132741682,0.670097426275615,2.13481422259778e-17,1.288297076603e-15,"PRKCG"
"ENSG00000160469.16",930101.52768257,-2.45687357604449,0.315474322886716,1.67199068095942e-15,7.34428588634573e-14,"BRSK1"
"ENSG00000183023.18",193710.988900937,-8.39756611174923e-06,0.00144269234444059,0.0120318073521374,0.037128349865031,"SLC8A1"
"ENSG00000124374.8",973343.146316841,-2.58034527242928,0.603425923029612,5.06033050129315e-06,3.60431950740149e-05,"PAIP2B"
"ENSG00000135624.15",530963.165302373,1.45568902003388e-05,0.00144267377225428,0.0246636236100023,0.0686125667220154,"CCT7"
"ENSG00000121152.9",4980.6761721544,4.06183477560293,0.428030040283959,6.46550687783275e-24,9.80932423857692e-22,"NCAPH"
"ENSG00000169679.14",5460.19384382038,5.14943275259365,0.643968545806457,1.72407106799155e-18,1.20441461896698e-16,"BUB1"
"ENSG00000169607.12",3070.93190959315,3.8843230782193,0.680947028819552,3.50264201106075e-11,6.94908439097733e-10,"CKAP2L"
"ENSG00000128656.13",1644188.45678936,-3.12342471076263,0.589374168993536,4.52994525711036e-08,4.88491445946565e-07,"CHN1"
"ENSG00000135924.15",1254595.91798236,-1.64211005717463,0.219013286501544,9.06424675054434e-15,3.51337105507821e-13,"DNAJB2"
"ENSG00000135916.15",3606050.84286814,6.51024851500374e-08,0.00144268908501917,0.975259609942152,0.994502680303461,"ITM2C"
"ENSG00000125835.18",161030.027947313,1.39803168046353,0.239625063745792,8.8647968822515e-11,1.63114900965833e-09,"SNRPB"
"ENSG00000100979.14",430292.916803358,2.22308918136458,0.41470538649844,7.37947610917417e-10,1.13611768128228e-08,"PLTP"
"ENSG00000154721.14",207416.667571135,1.56859356039754,0.346070558286486,7.52749779503309e-08,7.80687861065918e-07,"JAM2"
"ENSG00000182871.14",372141.864159476,4.67951785353334e-06,0.00144269633849335,0.00127921762714762,0.00515354759621415,"COL18A1"
"ENSG00000173638.18",239574.351200316,7.27027617280347e-06,0.00144269498426549,0.0052164897131818,0.0178317493409338,"SLC19A1"
"ENSG00000100095.18",401514.562813052,-6.79639155267954e-06,0.0014426905362681,0.0270030304279912,0.0740830865857802,"SEZ6L"
"ENSG00000128245.14",1700366.48450546,-2.36820734349796,0.445396226584737,2.40002818976869e-08,2.73514733331704e-07,"YWHAH"
"ENSG00000100316.15",2564534.66305788,1.67278419154695e-05,0.00144271401852971,0.00033587615097241,0.00156809839787572,"RPL3"
"ENSG00000196419.12",576466.279497715,1.49366928502659e-05,0.00144264457839802,0.0625712470822651,0.150524021434282,"XRCC6"
"ENSG00000075218.18",4140.03152934573,5.22175759520931,0.499549621932037,2.16070684292542e-28,6.28638590888773e-26,"GTSE1"
"ENSG00000008735.13",1191204.10466272,-3.15562030364133,0.373777302443898,1.21291865517918e-17,7.60341656339193e-16,"MAPK8IP2"
"ENSG00000150995.18",481651.133311022,-2.77379998747477,0.555463173925699,1.80505529006599e-07,1.74133088836872e-06,"ITPR1"
"ENSG00000157087.17",1052070.98945799,-3.37694926098522,0.538726998725241,1.67811631629847e-10,2.92974348761463e-09,"ATP2B2"
"ENSG00000157152.16",755962.188527473,-4.6774233487364,0.579228380737575,7.57428281214646e-16,3.51100307299685e-14,"SYN2"
"ENSG00000175161.13",492038.950432107,-1.7892210641701,0.269734299928654,5.00379238706858e-12,1.16849656026635e-10,"CADM2"
"ENSG00000091972.18",213509.072372677,-1.84072239407694,0.366787928172378,8.11164300434186e-08,8.34620060317763e-07,"CD200"
"ENSG00000073792.15",20713.0805569959,3.8977434576496,0.777811073417407,1.36011041786946e-09,1.99026808484684e-08,"IGF2BP2"
"ENSG00000072832.14",567646.97252137,-2.67012677629656e-06,0.00144268079882115,0.380143583095593,0.607806528389369,"CRMP1"
"ENSG00000109805.9",18126.0001782494,3.05956819763263,0.298630650240034,6.59981269279198e-27,1.5618504104569e-24,"NCAPG"
"ENSG00000154277.12",2120892.78450994,-1.6103342260735,0.463941914618303,6.49676836617669e-05,0.000359540663719934,"UCHL1"
